Field|Value
IncidentID|CAPSTONE-001
Scenario|Script-interpreter download followed by repeated outbound connections
PrimaryDetection|REMOTE_DOWNLOAD_PLUS_REPEATED_OUTBOUND_CONNECTIONS
Severity|HIGH
Host|win-22
User|user1
Domain|cdn.example.test
DestinationIP|203.0.113.88
Evidence1|Successful remote download attributed to PowerShell
Evidence2|Three repeated outbound connections to the same destination
Evidence3|Same Host/User/Domain/IP
Evidence4|Beaconing within 85 seconds
LikelyThreat|Possible C2 staging or malware callback
InitialVerdict|Confirmed suspicious network behavior
RecommendedAction1|Isolate host win-22
RecommendedAction2|Block destination IP and domain
RecommendedAction3|Collect process/network timeline from EDR
RecommendedAction4|Check file execution and persistence on host
